S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021030204011009,LEC,42,14,125,259,32375.00
2,2021030204011008,RHPL,11,57,60,359,21540.00
3,2021030204011007,KPCL,50,42,10,240,2400.00
4,2021030205007717,NIFRA,7,58,40,514,20560.00
5,2021030204011006,UIC,58,53,382,641,244862.00
6,2021030204011005,UIC,45,53,118,641,75638.00
7,2021030204011004,UIC,3,53,500,642,321000.00
8,2021030201012284,NMB,19,55,55,426,23430.00
9,2021030201012283,NMB,19,22,100,426,42600.00
10,2021030201012282,NMB,19,56,80,424,33920.00
11,2021030204011003,SICL,34,44,50,2749,137450.00
12,2021030203013557,KMCDB,53,57,101,1158,116958.00
13,2021030203013556,KMCDB,6,57,50,1158,57900.00
14,2021030203013555,KMCDB,52,57,70,1159,81130.00
15,2021030203013554,KMCDB,58,57,30,1160,34800.00
16,2021030203013553,KMCDB,14,57,20,1160,23200.00
17,2021030203013552,KMCDB,53,57,54,1160,62640.00
18,2021030205007716,PLI,34,38,10,767,7670.00
19,2021030203013551,ICFC,17,39,65,294,19110.00
20,2021030203013550,ICFC,53,39,100,294,29400.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021030203014182,SWBBL,36,53,300,1926,577800.00
2,2021030203014181,SWBBL,36,26,182,1926,350532.00
3,2021030201012921,SBI,5,25,17,418,7106.00
4,2021030203014180,SKBBL,42,53,623,1586,988078.00
5,2021030203014179,SKBBL,34,53,29,1588,46052.00
6,2021030204011392,AIL,48,38,10,687,6870.00
7,2021030205007909,NIFRA,38,43,40,514,20560.00
8,2021030205007908,NIFRA,38,58,30,513,15390.00
9,2021030205007907,NIFRA,38,45,30,513,15390.00
10,2021030201012920,GBIME,39,41,537,435,233595.00
11,2021030201012919,GBIME,39,51,100,435,43500.00
12,2021030201012918,GBIME,39,16,200,435,87000.00
13,2021030201012917,GBIME,39,47,300,435,130500.00
14,2021030201012916,GBIME,39,6,363,435,157905.00
15,2021030205007906,NIFRA,35,45,30,513,15390.00
16,2021030203014178,SLBBL,40,22,78,1221,95238.00
17,2021030203014177,HIDCL,33,41,100,325,32500.00
18,2021030203014176,HIDCL,1,41,500,325,162500.00
19,2021030205007905,NIFRA,35,58,10,513,5130.00
20,2021030205007904,NIFRA,47,58,40,514,20560.00
21,2021030205007903,PLI,5,1,10,766,7660.00
22,2021030203014175,PFL,22,53,40,259,10360.00
23,2021030205007902,NIFRA,47,48,50,514,25700.00
24,2021030204011391,NIL,10,13,50,1670,83500.00
25,2021030204011390,NIL,11,13,500,1670,835000.00
26,2021030204011389,NIL,26,13,10,1670,16700.00
27,2021030204011388,NIL,57,13,12,1670,20040.00
28,2021030204011387,NIL,8,13,310,1670,517700.00
29,2021030201012915,CZBIL,46,58,90,297,26730.00
30,2021030203014174,SKBBL,34,58,50,1588,79400.00
31,2021030203014173,NTC,57,28,100,1259,125900.00
32,2021030204011386,API,43,33,500,289,144500.00
33,2021030204011385,KKHC,46,16,64,114,7296.00
34,2021030204011384,RHPL,16,14,30,358,10740.00
35,2021030203014172,ALICL,35,14,50,1258,62900.00
36,2021030203014171,GBBL,35,1,174,303,52722.00
37,2021030203014170,GBBL,13,1,50,303,15150.00
38,2021030203014169,GBBL,22,1,170,303,51510.00
39,2021030203014168,GBBL,45,1,100,303,30300.00
40,2021030203014167,GBBL,1,1,200,303,60600.00
,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,633,677","+3,024","761,890",+469,"23,389,486","+6,239","9,482,301","21,083",,,,,,North America,,,,,
,,,Asia,,"25,082,059","+8,363","399,149",+131,"23,580,515","+6,648","1,102,395","21,882",,,,,,Asia,,,,,
,,,South America,,"18,048,525",+757,"468,234",+17,"16,325,612",+620,"1,254,679","18,969",,,,,,South America,,,,,
,,,Europe,,"34,284,445","+33,137","816,821",+872,"23,943,541","+39,383","9,524,083","25,818",,,,,,Europe,,,,,
,,,Africa,,"3,934,418",+210,"104,187",+3,"3,492,271",+77,"337,960","2,530",,,,,,Africa,,,,,
,,,Oceania,,"51,300",+15,"1,090",,"34,293",+7,"15,917",2,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"115,035,145","+45,506","2,551,386","+1,492","90,766,424","+52,974","21,717,335","90,284","14,758",327.3,,,,All,,,,,
,1,USA,"29,314,254",,"527,226 ",,"19,817,532",,"8,969,496","14,545","88,218","1,587","360,725,221","1,085,561","332,293,850 ",North America,116301,
,2,India,"11,124,527",+908,"157,275 ",,"10,798,921","+2,363","168,331","8,944","8,009",113,"217,618,057","156,671","1,389,012,340 ",Asia,"1258,8326",
,3,Brazil,"10,589,608",,"255,836 ",,"9,457,100",,"876,672","8,318","49,585","1,198","28,600,000","133,918","213,563,946 ",South America,208357,
,4,Russia,"4,268,215","+10,565","86,896 ",+441,"3,838,040","+14,966","343,279","2,300","29,239",595,"111,500,000","763,823","145,976,195 ",Europe,"341,6801",
,5,UK,"4,182,009",,"122,953 ",,"2,959,884",,"1,099,172","1,971","61,389","1,805","90,739,196","1,331,985","68,123,305 ",Europe,165541,
,6,France,"3,760,671",,"86,803 ",,"258,384",,"3,415,484","3,544","57,529","1,328","53,281,689","815,082","65,369,759 ",Europe,177531,
,7,Spain,"3,204,531",,"69,609 ",,"2,722,304",,"412,618","2,923","68,521","1,488","39,313,189","840,621","46,766,856 ",Europe,156721,
,8,Italy,"2,938,371",,"97,945 ",,"2,416,093",,"424,333","2,289","48,647","1,622","40,303,520","667,249","60,402,483 ",Europe,216171,
,9,Turkey,"2,711,479",,"28,638 ",,"2,578,181",,"104,660","1,215","31,922",337,"33,305,552","392,101","84,941,319 ",Asia,"312,9663",
,10,Germany,"2,455,569",,"70,924 ",,"2,264,600","+9,100","120,045","2,848","29,246",845,"43,950,029","523,449","83,962,383 ",Europe,"341,1842",
,11,Colombia,"2,255,260",,"59,866 ",,"2,151,633",,"43,761","2,240","44,011","1,168","11,491,151","224,249","51,242,817 ",South America,238564,
