,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
,,,North America,,"33,633,677","+3,024","761,890",+469,"23,389,486","+6,239"
,,,Asia,,"25,101,435","+27,739","399,451",+433,"23,601,142","+27,275"
,,,South America,,"18,048,525",+757,"468,234",+17,"16,325,612",+620
,,,Europe,,"34,303,550","+52,240","817,341","+1,392","23,949,143","+44,984"
,,,Africa,,"3,935,446","+1,238","104,205",+21,"3,494,990","+2,796"
,,,Oceania,,"51,300",+15,"1,090",,"34,293",+7
,,,,,721,,15,,706,
,,World,"115,074,654","+85,013","2,552,226","+2,332","90,795,372","+81,921","21,727,056","90,343"
,1,USA,"29,314,254",,"527,226 ",,"19,817,532",,"8,969,496","14,545"
,2,India,"11,124,527",+908,"157,275 ",,"10,798,921","+2,363","168,331","8,944"
,3,Brazil,"10,589,608",,"255,836 ",,"9,457,100",,"876,672","8,318"
,4,Russia,"4,268,215","+10,565","86,896 ",+441,"3,838,040","+14,966","343,279","2,300"
,5,UK,"4,182,009",,"122,953 ",,"2,959,884",,"1,099,172","1,971"
,6,France,"3,760,671",,"86,803 ",,"258,384",,"3,415,484","3,544"
,7,Spain,"3,204,531",,"69,609 ",,"2,722,304",,"412,618","2,923"
,8,Italy,"2,938,371",,"97,945 ",,"2,416,093",,"424,333","2,289"
,9,Turkey,"2,711,479",,"28,638 ",,"2,578,181",,"104,660","1,215"
,10,Germany,"2,455,569",,"70,924 ",,"2,264,600","+9,100","120,045","2,848"
,11,Colombia,"2,255,260",,"59,866 ",,"2,151,633",,"43,761","2,240"
,12,Argentina,"2,112,023",,"52,077 ",,"1,911,338",,"148,608","3,505"
,13,Mexico,"2,089,281","+2,343","186,152 ",+437,"1,639,943","+6,043","263,186","4,798"
,14,Poland,"1,719,708","+7,937","44,008 ",+216,"1,438,032","+7,171","237,668","1,540"
,15,Iran,"1,648,174","+8,495","60,267 ",+86,"1,406,845","+6,911","181,062","3,738"
,16,South Africa,"1,513,959",,"50,077 ",,"1,431,336",,"32,546",546
